workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file,source_root
periodic_agent,off,2,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,62.64439504593611,1295.041523873806,1225.6676033139229,20.09291152973644,48.12498841812524,False,0.75,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,2,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,61.258042231202126,1293.0972250178456,1225.1556860283017,20.08451944308691,48.19600307273225,False,0.75,stop,periodic_agent-apc-off-rep-2.json,baseline-269138-periodic_agent-apc-off-rep-2.jsonl,baseline-269138
periodic_agent,off,3,periodic-00,0,cold,cold_start,230,0,0.0,60.10132655501366,1405.0824213773012,1191.369672305882,20.192706310269187,47.94358003870065,False,0.25,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,off,3,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,59.97036583721638,1253.202990628779,1186.0996400937438,20.103383730402438,48.15138773457032,False,0.5,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,off,3,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,61.95699889212847,1294.5688590407372,1225.519336760044,20.09048093049253,48.15622492089832,False,0.75,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,off,3,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,61.7891289293766,1294.2113047465682,1225.4697708413005,20.089668374447548,48.16435917517851,False,0.75,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,off,3,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,61.59073021262884,1294.0030628815293,1225.3410778939724,20.087558653999547,48.176600818669264,False,0.75,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,off,3,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,61.546419747173786,1294.270347803831,1225.8595917373896,20.096058880940813,48.15885544025472,False,0.75,stop,periodic_agent-apc-off-rep-3.json,baseline-269138-periodic_agent-apc-off-rep-3.jsonl,baseline-269138
periodic_agent,on,1,periodic-00,0,cold,cold_start,230,0,0.0,60.32751314342022,1411.1198708415031,1193.5225147753954,20.22919516568467,47.85261288352812,False,0.25,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,1,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.252528093755245,1242.1016916632652,1185.506884008646,20.093337017095696,48.513881853548504,False,0.5,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,1,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.79242028295994,1282.119031995535,1224.8295471072197,20.079172903397044,48.60374122189745,False,0.75,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,1,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.85354018956423,1283.1242866814137,1225.7272014394403,20.093888548187543,48.567237447812154,False,0.75,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,1,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.110939122736454,1283.6332125589252,1225.9178888052702,20.0970145705782,48.55019608335364,False,0.75,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,1,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,52.02214512974024,1283.988706767559,1225.4445673897862,20.08925520311125,48.53355425419925,False,0.75,stop,periodic_agent-apc-on-rep-1.json,baseline-269138-periodic_agent-apc-on-rep-1.jsonl,baseline-269138
periodic_agent,on,2,periodic-00,0,cold,cold_start,230,0,0.0,60.504806227982044,1408.0222006887197,1191.852394491434,20.200888042227696,47.90965386355668,False,0.25,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,2,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,49.81039185076952,1242.8989503532648,1186.1814288422465,20.10476998037706,48.544010563401805,False,0.5,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,2,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.53920501470566,1284.4814285635948,1225.4346050322056,20.08909188577386,48.55228784819193,False,0.75,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,2,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.13984551280737,1284.4638442620635,1226.3832483440638,20.104643415476453,48.531412307248864,False,0.75,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
