target_tokens,edit_radius,quality_scenario,position,repetitions,valid_repetitions,invalid_repetitions,valid_measurement_rate,executed_repetitions,execution_reasons,mean_selected_reuse_rows,mean_reused_rows,mean_span_count,mean_shadow_forward_ms,mean_active_preparation_ms,mean_active_copy_ms,mean_active_forward_ms,mean_forward_delta_ms,mean_selector_overhead_ms,mean_active_vs_native_ttft_ms,mean_ttft_delta_ms,native_quality_pass_rate,shadow_quality_pass_rate,reference_quality_pass_rate,active_quality_pass_rate,shadow_native_exact_match_rate,active_shadow_exact_match_rate,active_native_exact_match_rate,mean_active_shadow_word_similarity,mean_active_native_word_similarity
1024,2,conflict,late,3,3,0,1.0,3,eligible,304.0,304.0,2.0,87.21749369303386,0.7731408501664797,1.4062933127085369,44.32452265421549,-42.89297103881836,16.23218630750974,-24.734169865647953,-40.96635617315769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_3,early,3,3,0,1.0,3,eligible,943.0,943.0,2.0,222.27831522623697,2.07658422489961,3.5013973712921143,40.00836308797201,-182.26995213826498,18.498690488437813,-161.88799062122902,-180.38668110966682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_3,middle,3,3,0,1.0,3,eligible,655.0,655.0,2.0,162.4272206624349,1.182927129169305,2.538837432861328,40.4312744140625,-121.99594624837239,17.39895933618148,-103.16195680449407,-120.56091614067554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_3,late,3,3,0,1.0,3,eligible,367.0,367.0,2.0,111.0111567179362,0.7647747794787089,1.6288426717122395,40.97979736328125,-70.03135935465495,16.144765851398308,-52.116723731160164,-68.26148958255847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_5,early,3,3,0,1.0,3,eligible,943.0,943.0,2.0,222.03016662597656,1.9611120223999023,3.502080043156942,40.081748962402344,-181.94841766357422,17.06132013350725,-161.70888766646385,-178.7702077999711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_5,middle,3,3,0,1.0,3,eligible,671.0,671.0,2.0,164.50013732910156,1.1725242560108502,2.607445319493612,40.62685902913412,-123.87327829996745,17.103790305554867,-104.24568379918735,-121.34947410474221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,conflict_5,late,3,3,0,1.0,3,eligible,399.0,399.0,2.0,112.13858286539714,0.7909576719005903,1.7309013605117798,41.06342315673828,-71.07515970865886,16.13193315764268,-52.2971727574865,-68.42910591512918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1024,2,pointer,early,3,3,0,1.0,3,eligible,943.0,943.0,2.0,221.70385233561197,2.033284865319729,3.6710399786631265,40.07150904337565,-181.63234329223633,16.726677616437275,-161.6758288194736,-178.40250643591085,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,2,pointer,middle,3,3,0,1.0,3,eligible,639.0,639.0,2.0,162.1551767985026,1.1002567286292713,2.5053866704305015,40.58453241984049,-121.57064437866211,17.10984017699957,-101.69620346277952,-118.80604363977909,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,2,pointer,late,3,3,0,1.0,3,eligible,319.0,319.0,2.0,87.26220957438152,0.7797547926505407,1.4755839904149373,41.17265065511068,-46.089558919270836,16.152166451017063,-28.525969324012596,-44.67813577502966,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1024,2,rule,early,3,3,0,1.0,0,no_reusable_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5501843988895416,2.5992166871825853,2.0490322882930436,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1024,2,rule,middle,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
1024,2,rule,late,3,0,3,0.0,0,invalid_measurements,,,,,,,,,,,,,,,,,,,,
4096,0,direct,early,3,3,0,1.0,3,eligible,4047.0,4047.0,2.0,923.931640625,10.78971941024065,13.670741399129232,38.29896545410156,-885.6326751708984,25.054954923689365,-848.7727216755351,-873.8276765992244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,direct,middle,3,3,0,1.0,3,eligible,2703.0,2703.0,2.0,654.5879109700521,7.01532078286012,9.209173202514648,40.232276916503906,-614.3556340535482,20.86458634585142,-585.3139084453384,-606.1784947911898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,direct,late,3,3,0,1.0,3,eligible,1343.0,1343.0,2.0,356.42811075846356,3.2465054343144097,4.871509393056233,44.50781758626302,-311.9202931722005,19.55401711165905,-289.24014916022617,-308.7941662718852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,composed,early,3,3,0,1.0,3,eligible,4047.0,4047.0,2.0,923.9316609700521,10.97892876714468,13.66323184967041,38.30374399820963,-885.6279169718424,28.741091179351013,-845.3214808056752,-874.0625719850262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,composed,middle,3,3,0,1.0,3,eligible,2703.0,2703.0,2.0,655.0364176432291,7.155316571394603,9.326933224995932,40.31601079305013,-614.7204068501791,26.51101506004731,-580.1555772001544,-606.6665922602018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,composed,late,3,3,0,1.0,3,eligible,1359.0,1359.0,2.0,356.5667012532552,3.27263151605924,5.030911922454834,42.63526280721029,-313.9314384460449,18.536916933953762,-291.38470844676095,-309.9216253807147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4096,0,conflict,early,3,3,0,1.0,3,eligible,4032.0,4032.0,2.0,924.5781453450521,10.886629112064838,13.586432139078775,45.25704701741537,-879.3210983276367,24.913371230165165,-841.9295403485497,-866.8429115787148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
