workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file
periodic_agent,off,2,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,60.618242248892784,1009.1721080243587,941.7300634086132,20.036809859757728,47.88754540619855,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,2,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,60.124484822154045,1010.3971930220723,943.4487158432603,20.073376932835327,47.82909703863538,False,0.25,length,periodic_agent-apc-off-rep-2.json,baseline-268672-periodic_agent-apc-off-rep-2.jsonl
periodic_agent,off,3,periodic-00,0,cold,cold_start,230,0,0.0,60.58376934379339,1162.8538565710187,940.9093521535397,20.01934791816042,47.928437020351346,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-01,1,reuse_eligible,sliding_window,230,0,0.0,59.45792235434055,1007.7755870297551,940.2700858190656,20.00574650678863,48.013059159661196,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-02,2,reuse_eligible,sliding_window,230,0,0.0,59.939160011708736,1009.5636500045657,942.4065686762333,20.051203588856026,47.887668522148935,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-03,3,reuse_eligible,sliding_window,230,0,0.0,60.91494672000408,1009.4221411272883,941.9007198885083,20.040440848691667,47.86522747728336,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-04,4,reuse_eligible,sliding_window,230,0,0.0,60.28689909726381,1008.7696025148034,941.9643105939031,20.04179384242347,47.89218464978525,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,off,3,periodic-05,5,reuse_eligible,sliding_window,230,0,0.0,60.81784702837467,1009.4189010560513,942.2050192952156,20.046915304153522,47.855339705201175,False,0.25,length,periodic_agent-apc-off-rep-3.json,baseline-268672-periodic_agent-apc-off-rep-3.jsonl
periodic_agent,on,1,periodic-00,0,cold,cold_start,230,0,0.0,59.99793391674757,1158.6568979546428,942.352700047195,20.05005744781266,47.887434170792076,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,1,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,49.94710348546505,996.720876544714,940.3795376420021,20.008075268978768,48.468856644463244,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,1,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.31472258269787,998.7874077633023,941.8488517403603,20.039337271071496,48.379119373284645,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,1,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.4586910828948,998.7755184993148,941.7712828144431,20.037686868392406,48.37588186482902,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,1,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.59733148664236,999.450015835464,942.2398209571838,20.047655765046464,48.34629715643704,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,1,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.462622195482254,999.0624375641346,942.0894924551249,20.04445728627925,48.360181084190934,False,0.25,length,periodic_agent-apc-on-rep-1.json,baseline-268672-periodic_agent-apc-on-rep-1.jsonl
periodic_agent,on,2,periodic-00,0,cold,cold_start,230,0,0.0,60.14198437333107,1159.630467183888,941.4179492741823,20.030169133493242,47.92523980586169,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,2,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,49.10913947969675,995.8222871646285,939.675085246563,19.99308692013964,48.54446379672832,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,2,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.22789444774389,997.4492099136114,940.3969729319215,20.008446232594075,48.4542651619138,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,2,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.252944231033325,997.9032790288329,941.1336798220873,20.02412084727845,48.417034117083325,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,2,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.29321275651455,999.124513939023,941.6935378685594,20.036032720607647,48.387743051763636,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,2,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.650992430746555,1000.1905001699924,941.5487479418516,20.032952083869183,48.377355936391076,False,0.25,length,periodic_agent-apc-on-rep-2.json,baseline-268672-periodic_agent-apc-on-rep-2.jsonl
periodic_agent,on,3,periodic-00,0,cold,cold_start,230,0,0.0,60.005766339600086,1158.3388317376375,942.7356580272317,20.058205489941102,47.868771383718375,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
periodic_agent,on,3,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,49.25401881337166,997.3173756152391,941.748971119523,20.037212151479213,48.435777174850195,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
periodic_agent,on,3,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.5396444350481,999.7849063947797,941.610031761229,20.034255994919764,48.37979707257814,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
periodic_agent,on,3,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.824932754039764,999.3363572284579,940.8160652965307,20.01736309141555,48.404614265002536,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
periodic_agent,on,3,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.596633926033974,999.9027969315648,941.6590621694922,20.03529919509558,48.3746278190969,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
periodic_agent,on,3,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.68810377269983,1000.797413289547,942.5740288570523,20.054766571426644,48.32561156128607,False,0.25,length,periodic_agent-apc-on-rep-3.json,baseline-268672-periodic_agent-apc-on-rep-3.jsonl
rag,off,1,rag-00,0,cold,cold_start,167,0,0.0,50.944686867296696,1171.2130988016725,946.2422449141741,20.13281372157817,48.13540818695665,True,1.0,length,rag-apc-off-rep-1.json,baseline-268672-rag-apc-off-rep-1.jsonl
rag,off,1,rag-01,1,reuse_eligible,document_replacement,176,0,0.0,52.100771106779575,962.9788249731064,904.1210822761059,20.091579606135685,48.105991132981266,True,1.0,stop,rag-apc-off-rep-1.json,baseline-268672-rag-apc-off-rep-1.jsonl
rag,off,1,rag-02,2,reuse_eligible,document_reorder,176,0,0.0,54.29958272725344,521.8182178214192,460.4026759043336,20.017507648014504,46.6288997134141,True,1.0,stop,rag-apc-off-rep-1.json,baseline-268672-rag-apc-off-rep-1.jsonl
rag,off,1,rag-03,3,reuse_eligible,query_replacement,177,0,0.0,52.5025287643075,401.0633360594511,341.5040960535407,20.088476238443572,45.684511036639336,True,1.0,stop,rag-apc-off-rep-1.json,baseline-268672-rag-apc-off-rep-1.jsonl
rag,off,2,rag-00,0,cold,cold_start,167,0,0.0,50.96077173948288,1159.3136535957456,944.9667576700449,20.10567569510734,48.196277924417416,True,1.0,length,rag-apc-off-rep-2.json,baseline-268672-rag-apc-off-rep-2.jsonl
rag,off,2,rag-01,1,reuse_eligible,document_replacement,176,0,0.0,51.55471991747618,961.78830973804,903.0514089390635,20.067809087534744,48.18741322675184,True,1.0,stop,rag-apc-off-rep-2.json,baseline-268672-rag-apc-off-rep-2.jsonl
rag,off,2,rag-02,2,reuse_eligible,document_reorder,176,0,0.0,54.71647623926401,522.5296709686518,460.8008321374655,20.034818788585458,46.55517789610527,True,1.0,stop,rag-apc-off-rep-2.json,baseline-268672-rag-apc-off-rep-2.jsonl
rag,off,2,rag-03,3,reuse_eligible,query_replacement,177,0,0.0,53.1834838911891,400.84247663617134,340.67288134247065,20.039581255439447,45.70194006975435,True,1.0,stop,rag-apc-off-rep-2.json,baseline-268672-rag-apc-off-rep-2.jsonl
rag,off,3,rag-00,0,cold,cold_start,167,0,0.0,50.17264001071453,1158.3755742758512,947.0163388177752,20.149283804633516,48.1353093737468,True,1.0,length,rag-apc-off-rep-3.json,baseline-268672-rag-apc-off-rep-3.jsonl
rag,off,3,rag-01,1,reuse_eligible,document_replacement,176,0,0.0,52.09074169397354,962.9463749006391,904.0280403569341,20.089512007931866,48.1111770457311,True,1.0,stop,rag-apc-off-rep-3.json,baseline-268672-rag-apc-off-rep-3.jsonl
rag,off,3,rag-02,2,reuse_eligible,document_reorder,176,0,0.0,54.697602055966854,522.2363946959376,460.2419016882777,20.010517464707725,46.607416648927554,True,1.0,stop,rag-apc-off-rep-3.json,baseline-268672-rag-apc-off-rep-3.jsonl
rag,off,3,rag-03,3,reuse_eligible,query_replacement,177,0,0.0,52.90595814585686,401.7596459016204,341.4523974061012,20.085435141535367,45.64376472968743,True,1.0,stop,rag-apc-off-rep-3.json,baseline-268672-rag-apc-off-rep-3.jsonl
rag,on,1,rag-00,0,cold,cold_start,167,0,0.0,50.932508893311024,1141.4376962929964,944.4675417616963,20.095054080036093,48.22181791975433,True,1.0,length,rag-apc-on-rep-1.json,baseline-268672-rag-apc-on-rep-1.jsonl
